web-scraper-order;categoryLink;bookLink-href;title;price;ratingClass
1760744631-159;Paranormal;https://books.toscrape.com/catalogue/vampire-knight-vol-1-vampire-knight-1_93/index.html;Vampire Knight, Vol. 1 (Vampire Knight #1);�15.40;star-rating One
1760744634-179;Science;https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html;The Selfish Gene;�29.45;star-rating One
1760744635-160;Poetry;https://books.toscrape.com/catalogue/twenty-love-poems-and-a-song-of-despair_91/index.html;Twenty Love Poems and a Song of Despair;�30.95;star-rating Four
1760744637-161;Poetry;https://books.toscrape.com/catalogue/booked_365/index.html;Booked;�17.49;star-rating Five
1760744637-180;Science;https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html;Seven Brief Lessons on Physics;�30.60;star-rating Four
1760744639-162;Poetry;https://books.toscrape.com/catalogue/the-crossover_398/index.html;The Crossover;�38.77;star-rating Four
1760744639-181;Science;https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html;Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character;�25.83;star-rating Two
1760744641-163;Poetry;https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html;The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1);�15.42;star-rating Five
1760744641-182;Science;https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html;The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements;�57.35;star-rating Five
1760744643-164;Poetry;https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html;Leave This Song Behind: Teen Poetry at Its Best;�51.17;star-rating Five
1760744643-183;Science;https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html;The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory;�13.03;star-rating Four
1760744645-165;Poetry;https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html;Howl and Other Poems;�40.45;star-rating Two
1760744645-184;Science;https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html;Peak: Secrets from the New Science of Expertise;�16.28;star-rating Two
1760744647-166;Poetry;https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html;Les Fleurs du Mal;�29.04;star-rating Five
1760744647-185;Science;https://books.toscrape.com/catalogue/the-grand-design_405/index.html;The Grand Design;�13.76;star-rating Three
1760744649-167;Poetry;https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html;Out of Print: City Lights Spotlight No. 14;�53.64;star-rating Five
1760744649-186;Science;https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html;The Origin of Species;�10.01;star-rating Four
1760744651-168;Poetry;https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html;Quarter Life Poetry: Poems for the Young, Broke and Hangry;�50.89;star-rating Five
1760744652-187;Science;https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html;Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World;�28.41;star-rating One
1760744653-169;Poetry;https://books.toscrape.com/catalogue/salt_731/index.html;salt.;�46.78;star-rating Four
1760744654-188;Science;https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html;The Fabric of the Cosmos: Space, Time, and the Texture of Reality;�55.91;star-rating One
1760744655-170;Poetry;https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html;Night Sky with Exit Wounds;�41.05;star-rating One
1760744656-189;Science;https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html;Tipping Point for Planet Earth: How Close Are We to the Edge?;�37.55;star-rating One
1760744657-171;Poetry;https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html;Poems That Make Grown Women Cry;�14.19;star-rating Four
1760744658-190;Science;https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html;Sorting the Beef from the Bull: The Science of Food Fraud Forensics;�44.74;star-rating Four
1760744659-172;Poetry;https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html;Untitled Collection: Sabbath Poems 2014;�14.27;star-rating Four
1760744660-191;Science;https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html;Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;�57.36;star-rating Five
1760744661-173;Poetry;https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html;Slow States of Collapse: Poems;�57.31;star-rating Three
1760744662-192;Science;https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html;The Most Perfect Thing: Inside (and Outside) a Bird's Egg;�42.96;star-rating Four
1760744663-174;Poetry;https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html;You can't bury them all: Poems;�33.63;star-rating Two
1760744665-175;Poetry;https://books.toscrape.com/catalogue/olio_984/index.html;Olio;�23.88;star-rating One
1760744667-176;Poetry;https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html;Shakespeare's Sonnets;�20.66;star-rating Four
1760744667-193;Young Adult;https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html;Stars Above (The Lunar Chronicles #4.5);�48.05;star-rating Two
1760744669-177;Poetry;https://books.toscrape.com/catalogue/the-black-maria_991/index.html;The Black Maria;�52.15;star-rating One
1760744669-194;Young Adult;https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html;The Epidemic (The Program 0.6);�14.44;star-rating Five
1760744671-178;Poetry;https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html;A Light in the Attic;�51.77;star-rating Three
1760744671-195;Young Adult;https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html;Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1);�58.14;star-rating Four
1760744673-196;Young Adult;https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html;Catching Jordan (Hundred Oaks);�50.83;star-rating Three
1760744675-197;Young Adult;https://books.toscrape.com/catalogue/dont-get-caught_687/index.html;Don't Get Caught;�55.35;star-rating One
1760744676-179;Science;https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html;The Selfish Gene;�29.45;star-rating One
1760744677-198;Young Adult;https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html;My Kind of Crazy;�40.36;star-rating One
1760744678-180;Science;https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html;Seven Brief Lessons on Physics;�30.60;star-rating Four
1760744680-181;Science;https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html;Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character;�25.83;star-rating Two
1760744680-199;Young Adult;https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html;The Darkest Lie;�35.35;star-rating Five
1760744682-182;Science;https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html;The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements;�57.35;star-rating Five
1760744682-200;Young Adult;https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html;This Is Where It Ends;�27.12;star-rating Two
1760744684-183;Science;https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html;The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory;�13.03;star-rating Four
1760744684-201;Young Adult;https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html;Until Friday Night (The Field Party #1);�46.31;star-rating Two
1760744686-184;Science;https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html;Peak: Secrets from the New Science of Expertise;�16.28;star-rating Two
1760744686-202;Young Adult;https://books.toscrape.com/catalogue/wild-swans_782/index.html;Wild Swans;�14.36;star-rating Two
1760744688-185;Science;https://books.toscrape.com/catalogue/the-grand-design_405/index.html;The Grand Design;�13.76;star-rating Three
1760744688-203;Young Adult;https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html;Frostbite (Vampire Academy #2);�29.99;star-rating Five
1760744690-186;Science;https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html;The Origin of Species;�10.01;star-rating Four
1760744690-204;Young Adult;https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html;Library of Souls (Miss Peregrine?s Peculiar Children #3);�48.56;star-rating Five
1760744692-187;Science;https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html;Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World;�28.41;star-rating One
1760744693-205;Young Adult;https://books.toscrape.com/catalogue/nightingale-sing_823/index.html;Nightingale, Sing;�38.28;star-rating One
1760744694-188;Science;https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html;The Fabric of the Cosmos: Space, Time, and the Texture of Reality;�55.91;star-rating One
1760744695-206;Young Adult;https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html;Scarlett Epstein Hates It Here;�43.55;star-rating Five
1760744696-189;Science;https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html;Tipping Point for Planet Earth: How Close Are We to the Edge?;�37.55;star-rating One
1760744697-207;Young Adult;https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html;A Fierce and Subtle Poison;�28.13;star-rating Four
1760744698-190;Science;https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html;Sorting the Beef from the Bull: The Science of Food Fraud Forensics;�44.74;star-rating Four
1760744699-208;Young Adult;https://books.toscrape.com/catalogue/burning_884/index.html;Burning;�28.81;star-rating Three
1760744700-191;Science;https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html;Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;�57.36;star-rating Five
1760744701-209;Young Adult;https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html;Obsidian (Lux #1);�14.86;star-rating Two
1760744702-192;Science;https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html;The Most Perfect Thing: Inside (and Outside) a Bird's Egg;�42.96;star-rating Four
1760744703-210;Young Adult;https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html;The Natural History of Us (The Fine Art of Pretending #2);�45.22;star-rating Three
1760744705-211;Young Adult;https://books.toscrape.com/catalogue/set-me-free_988/index.html;Set Me Free;�17.46;star-rating Five
1760744706-193;Young Adult;https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html;Stars Above (The Lunar Chronicles #4.5);�48.05;star-rating Two
1760744708-194;Young Adult;https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html;The Epidemic (The Program 0.6);�14.44;star-rating Five
1760744708-212;Young Adult;https://books.toscrape.com/catalogue/the-requiem-red_995/index.html;The Requiem Red;�22.65;star-rating One
1760744710-195;Young Adult;https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html;Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1);�58.14;star-rating Four
1760744712-196;Young Adult;https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html;Catching Jordan (Hundred Oaks);�50.83;star-rating Three
1760744712-213;New Adult;https://books.toscrape.com/catalogue/off-sides-off-1_38/index.html;Off Sides (Off #1);�39.45;star-rating Five
1760744714-197;Young Adult;https://books.toscrape.com/catalogue/dont-get-caught_687/index.html;Don't Get Caught;�55.35;star-rating One
1760744714-214;New Adult;https://books.toscrape.com/catalogue/shameless_52/index.html;Shameless;�58.35;star-rating Three
1760744716-198;Young Adult;https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html;My Kind of Crazy;�40.36;star-rating One
1760744716-215;New Adult;https://books.toscrape.com/catalogue/the-hook-up-game-on-1_68/index.html;The Hook Up (Game On #1);�36.29;star-rating Five
1760744718-199;Young Adult;https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html;The Darkest Lie;�35.35;star-rating Five
1760744718-216;New Adult;https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html;The Matchmaker's Playbook (Wingmen Inc. #1);�55.85;star-rating One
1760744720-200;Young Adult;https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html;This Is Where It Ends;�27.12;star-rating Two
1760744721-217;New Adult;https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html;The Mistake (Off-Campus #2);�43.29;star-rating Three
1760744722-201;Young Adult;https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html;Until Friday Night (The Field Party #1);�46.31;star-rating Two
1760744723-218;New Adult;https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html;Without Borders (Wanderlove #1);�45.07;star-rating Two
1760744724-202;Young Adult;https://books.toscrape.com/catalogue/wild-swans_782/index.html;Wild Swans;�14.36;star-rating Two
1760744726-203;Young Adult;https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html;Frostbite (Vampire Academy #2);�29.99;star-rating Five
1760744727-219;Fantasy;https://books.toscrape.com/catalogue/kings-folly-the-kinsman-chronicles-1_473/index.html;King's Folly (The Kinsman Chronicles #1);�39.61;star-rating Five
1760744728-204;Young Adult;https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html;Library of Souls (Miss Peregrine?s Peculiar Children #3);�48.56;star-rating Five
1760744729-220;Fantasy;https://books.toscrape.com/catalogue/a-shard-of-ice-the-black-symphony-saga-1_558/index.html;A Shard of Ice (The Black Symphony Saga #1);�56.63;star-rating Three
1760744730-205;Young Adult;https://books.toscrape.com/catalogue/nightingale-sing_823/index.html;Nightingale, Sing;�38.28;star-rating One
1760744731-221;Fantasy;https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html;The Star-Touched Queen;�32.30;star-rating Five
1760744732-206;Young Adult;https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html;Scarlett Epstein Hates It Here;�43.55;star-rating Five
1760744734-207;Young Adult;https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html;A Fierce and Subtle Poison;�28.13;star-rating Four
1760744734-222;Fantasy;https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html;Searching for Meaning in Gailana;�38.73;star-rating One
1760744736-208;Young Adult;https://books.toscrape.com/catalogue/burning_884/index.html;Burning;�28.81;star-rating Three
1760744736-223;Fantasy;https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html;City of Glass (The Mortal Instruments #3);�56.02;star-rating Four
1760744738-209;Young Adult;https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html;Obsidian (Lux #1);�14.86;star-rating Two
1760744738-224;Fantasy;https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html;Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3);�37.51;star-rating Five
1760744740-210;Young Adult;https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html;The Natural History of Us (The Fine Art of Pretending #2);�45.22;star-rating Three
1760744740-225;Fantasy;https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html;Island of Dragons (Unwanteds #7);�29.65;star-rating One
1760744742-226;Fantasy;https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html;The Bane Chronicles (The Bane Chronicles #1-11);�44.73;star-rating Four
1760744743-211;Young Adult;https://books.toscrape.com/catalogue/set-me-free_988/index.html;Set Me Free;�17.46;star-rating Five
1760744744-227;Fantasy;https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html;The Hidden Oracle (The Trials of Apollo #1);�52.26;star-rating Two
1760744745-212;Young Adult;https://books.toscrape.com/catalogue/the-requiem-red_995/index.html;The Requiem Red;�22.65;star-rating One
1760744747-228;Fantasy;https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html;The Star-Touched Queen;�46.02;star-rating Five
1760744749-213;New Adult;https://books.toscrape.com/catalogue/off-sides-off-1_38/index.html;Off Sides (Off #1);�39.45;star-rating Five
1760744749-229;Fantasy;https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html;Hollow City (Miss Peregrine?s Peculiar Children #2);�42.98;star-rating One
1760744751-214;New Adult;https://books.toscrape.com/catalogue/shameless_52/index.html;Shameless;�58.35;star-rating Three
1760744751-230;Fantasy;https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html;The Glittering Court (The Glittering Court #1);�44.28;star-rating One
1760744753-215;New Adult;https://books.toscrape.com/catalogue/the-hook-up-game-on-1_68/index.html;The Hook Up (Game On #1);�36.29;star-rating Five
1760744753-231;Fantasy;https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html;Throne of Glass (Throne of Glass #1);�35.07;star-rating Three
1760744755-216;New Adult;https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html;The Matchmaker's Playbook (Wingmen Inc. #1);�55.85;star-rating One
1760744755-232;Fantasy;https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html;A Court of Thorns and Roses (A Court of Thorns and Roses #1);�52.37;star-rating One
1760744757-217;New Adult;https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html;The Mistake (Off-Campus #2);�43.29;star-rating Three
1760744757-233;Fantasy;https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html;Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3);�28.09;star-rating Two
1760744759-218;New Adult;https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html;Without Borders (Wanderlove #1);�45.07;star-rating Two
1760744760-234;Fantasy;https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html;Crown of Midnight (Throne of Glass #2);�43.29;star-rating Three
1760744762-235;Fantasy;https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html;Masks and Shadows;�56.40;star-rating Two
1760744763-219;Fantasy;https://books.toscrape.com/catalogue/kings-folly-the-kinsman-chronicles-1_473/index.html;King's Folly (The Kinsman Chronicles #1);�39.61;star-rating Five
1760744764-236;Fantasy;https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html;Princess Between Worlds (Wide-Awake Princess #5);�13.34;star-rating Five
1760744765-220;Fantasy;https://books.toscrape.com/catalogue/a-shard-of-ice-the-black-symphony-saga-1_558/index.html;A Shard of Ice (The Black Symphony Saga #1);�56.63;star-rating Three
1760744766-237;Fantasy;https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html;Saga, Volume 6 (Saga (Collected Editions) #6);�25.02;star-rating Three
1760744767-221;Fantasy;https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html;The Star-Touched Queen;�32.30;star-rating Five
1760744768-238;Fantasy;https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html;Unicorn Tracks;�18.78;star-rating Three
1760744769-222;Fantasy;https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html;Searching for Meaning in Gailana;�38.73;star-rating One
1760744771-223;Fantasy;https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html;City of Glass (The Mortal Instruments #3);�56.02;star-rating Four
1760744772-239;Add a comment;https://books.toscrape.com/catalogue/the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html;The Midnight Watch: A Novel of the Titanic and the Californian;�26.20;star-rating One
1760744773-224;Fantasy;https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html;Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3);�37.51;star-rating Five
1760744775-225;Fantasy;https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html;Island of Dragons (Unwanteds #7);�29.65;star-rating One
1760744775-240;Add a comment;https://books.toscrape.com/catalogue/rook_647/index.html;Rook;�37.86;star-rating Four
1760744777-226;Fantasy;https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html;The Bane Chronicles (The Bane Chronicles #1-11);�44.73;star-rating Four
1760744777-241;Add a comment;https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html;A Brush of Wings (Angels Walking #3);�55.51;star-rating One
1760744779-227;Fantasy;https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html;The Hidden Oracle (The Trials of Apollo #1);�52.26;star-rating Two
1760744779-242;Add a comment;https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html;A People's History of the United States;�40.79;star-rating Two
1760744781-228;Fantasy;https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html;The Star-Touched Queen;�46.02;star-rating Five
1760744781-243;Add a comment;https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html;A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer;�56.48;star-rating Two
1760744783-229;Fantasy;https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html;Hollow City (Miss Peregrine?s Peculiar Children #2);�42.98;star-rating One
1760744783-244;Add a comment;https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html;Angels Walking (Angels Walking #1);�34.20;star-rating Two
1760744785-230;Fantasy;https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html;The Glittering Court (The Glittering Court #1);�44.28;star-rating One
1760744785-245;Add a comment;https://books.toscrape.com/catalogue/cell_674/index.html;Cell;�20.29;star-rating Four
1760744787-231;Fantasy;https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html;Throne of Glass (Throne of Glass #1);�35.07;star-rating Three
1760744788-246;Add a comment;https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html;Code Name Verity (Code Name Verity #1);�22.13;star-rating Four
1760744789-232;Fantasy;https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html;A Court of Thorns and Roses (A Court of Thorns and Roses #1);�52.37;star-rating One
1760744790-247;Add a comment;https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html;More Than Music (Chasing the Dream #1);�37.61;star-rating Two
1760744791-233;Fantasy;https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html;Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3);�28.09;star-rating Two
1760744792-248;Add a comment;https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html;The Dovekeepers;�48.78;star-rating One
1760744793-234;Fantasy;https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html;Crown of Midnight (Throne of Glass #2);�43.29;star-rating Three
1760744794-249;Add a comment;https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html;The Immortal Life of Henrietta Lacks;�40.67;star-rating Two
1760744796-235;Fantasy;https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html;Masks and Shadows;�56.40;star-rating Two
1760744796-250;Add a comment;https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html;The Song of Achilles;�37.40;star-rating Five
1760744798-236;Fantasy;https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html;Princess Between Worlds (Wide-Awake Princess #5);�13.34;star-rating Five
1760744798-251;Add a comment;https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html;The White Queen (The Cousins' War #1);�25.91;star-rating Five
1760744800-237;Fantasy;https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html;Saga, Volume 6 (Saga (Collected Editions) #6);�25.02;star-rating Three
1760744801-252;Add a comment;https://books.toscrape.com/catalogue/modern-romance_820/index.html;Modern Romance;�28.26;star-rating Five
1760744802-238;Fantasy;https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html;Unicorn Tracks;�18.78;star-rating Three
1760744803-253;Add a comment;https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html;Shobu Samurai, Project Aryoku (#3);�29.06;star-rating Three
1760744805-254;Add a comment;https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html;Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners);�53.90;star-rating Two
1760744806-239;Add a comment;https://books.toscrape.com/catalogue/the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html;The Midnight Watch: A Novel of the Titanic and the Californian;�26.20;star-rating One
1760744807-255;Add a comment;https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html;On a Midnight Clear;�14.07;star-rating Three
1760744808-240;Add a comment;https://books.toscrape.com/catalogue/rook_647/index.html;Rook;�37.86;star-rating Four
1760744809-256;Add a comment;https://books.toscrape.com/catalogue/the-art-forger_930/index.html;The Art Forger;�40.76;star-rating Three
1760744810-241;Add a comment;https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html;A Brush of Wings (Angels Walking #3);�55.51;star-rating One
1760744811-257;Add a comment;https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html;The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy;�23.89;star-rating Four
1760744812-242;Add a comment;https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html;A People's History of the United States;�40.79;star-rating Two
1760744813-258;Add a comment;https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html;The Torch Is Passed: A Harding Family Story;�19.09;star-rating One
1760744814-243;Add a comment;https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html;A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer;�56.48;star-rating Two
1760744816-244;Add a comment;https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html;Angels Walking (Angels Walking #1);�34.20;star-rating Two
1760744818-245;Add a comment;https://books.toscrape.com/catalogue/cell_674/index.html;Cell;�20.29;star-rating Four
